Geographic Area Name, Total
"Baldwyn city, Mississippi",608
"Batesville city, Mississippi",1330
"Bay St. Louis city, Mississippi",3384
"Bay Springs city, Mississippi",254
"Beechwood CDP, Mississippi",880
"Belmont town, Mississippi",X
"Belzoni city, Mississippi",106
"Benoit town, Mississippi",95
"Benton CDP, Mississippi",118
"Bethlehem CDP, Mississippi",X
"Big Point CDP, Mississippi",287
"Biloxi city, Mississippi",15102
"Blue Mountain town, Mississippi",164
"Blue Springs village, Mississippi",X
"Booneville city, Mississippi",2635
"Bovina CDP, Mississippi",136
"Boyle town, Mississippi",109
"Brandon city, Mississippi",9664
"Bridgetown CDP, Mississippi",1157
"Brookhaven city, Mississippi",1952
"Bruce town, Mississippi",359
"Bude town, Mississippi",X
"Burnsville town, Mississippi",282
"Byhalia town, Mississippi",136
"Byram city, Mississippi",1537
"Caledonia town, Mississippi",454
"Calhoun City town, Mississippi",242
"Canton city, Mississippi",734
"Carrollton town, Mississippi",104
"Carthage city, Mississippi",418
"Centreville town, Mississippi",113
"Charleston city, Mississippi",X
"Chunky town, Mississippi",95
"Clara CDP, Mississippi",109
"Clarksdale city, Mississippi",1005
"Cleary CDP, Mississippi",X
"Cleveland city, Mississippi",2475
"Clinton city, Mississippi",7581
"Coffeeville town, Mississippi",110
"Coldwater town, Mississippi",117
"Collins city, Mississippi",288
"Collinsville CDP, Mississippi",732
"Columbia city, Mississippi",1053
"Columbus city, Mississippi",3589
"Columbus AFB CDP, Mississippi",590
"Como town, Mississippi",X
"Corinth city, Mississippi",3920
"Crystal Springs city, Mississippi",614
"Decatur town, Mississippi",346
"De Kalb town, Mississippi",100
"DeLisle CDP, Mississippi",355
"Diamondhead city, Mississippi",5154
"D'Iberville city, Mississippi",3519
"Drew city, Mississippi",X
"Dumas town, Mississippi",169
"Eagle Bend CDP, Mississippi",124
"Ecru town, Mississippi",239
"Elliott CDP, Mississippi",211
"Ellisville city, Mississippi",687
"Enterprise town, Mississippi",X
"Escatawpa CDP, Mississippi",1064
"Eudora CDP, Mississippi",123
"Eupora city, Mississippi",424
"Falkner town, Mississippi",146
"Farmington town, Mississippi",676
"Fernwood CDP, Mississippi",109
"Flora town, Mississippi",356
"Florence city, Mississippi",1636
"Flowood city, Mississippi",3536
"Forest city, Mississippi",490
"Fulton city, Mississippi",1077
"Gautier city, Mississippi",4943
"Glen town, Mississippi",130
"Glendale CDP, Mississippi",275
"Gluckstadt CDP, Mississippi",1122
"Greenville city, Mississippi",2020
"Greenwood city, Mississippi",1872
"Grenada city, Mississippi",1947
"Gulf Hills CDP, Mississippi",3195
"Gulf Park Estates CDP, Mississippi",2451
"Gulfport city, Mississippi",18048
"Guntown town, Mississippi",755
"Hamilton CDP, Mississippi",115
"Hatley town, Mississippi",X
"Hattiesburg city, Mississippi",9441
"Hazlehurst city, Mississippi",185
"Helena CDP, Mississippi",381
"Henderson Point CDP, Mississippi",X
"Hernando city, Mississippi",6630
"Hickory Flat town, Mississippi",X
"Hide-A-Way Lake CDP, Mississippi",925
"Hillsboro CDP, Mississippi",114
"Holcomb CDP, Mississippi",159
"Hollandale city, Mississippi",106
"Holly Springs city, Mississippi",393
"Horn Lake city, Mississippi",4716
"Houston city, Mississippi",539
"Hurley CDP, Mississippi",628
"Indianola city, Mississippi",746
"Inverness town, Mississippi",181
"Iuka city, Mississippi",1055
"Jackson city, Mississippi",14273
"Jumpertown town, Mississippi",137
"Kilmichael town, Mississippi",X
"Kiln CDP, Mississippi",834
"Kirkville CDP, Mississippi",111
"Kosciusko city, Mississippi",1082
"Lake town, Mississippi",125
"Latimer CDP, Mississippi",2692
"Laurel city, Mississippi",2189
"Leakesville town, Mississippi",304
"Leland city, Mississippi",533
"Lexington city, Mississippi",X
"Liberty town, Mississippi",223
"Long Beach city, Mississippi",7381
"Longview CDP, Mississippi",125
"Louisville city, Mississippi",769
"Lucedale city, Mississippi",666
"Lumberton city, Mississippi",243
"Lyman CDP, Mississippi",874
"Lynchburg CDP, Mississippi",X
"Lyon town, Mississippi",121
"McComb city, Mississippi",1264
"McLain town, Mississippi",129
"Macon city, Mississippi",190
"Madison city, Mississippi",13256
"Magee city, Mississippi",634
"Magnolia city, Mississippi",205
"Mantachie town, Mississippi",398
"Marion town, Mississippi",296
"Marks city, Mississippi",159
"Mathiston town, Mississippi",X
"Meadville town, Mississippi",176
"Mendenhall city, Mississippi",564
"Meridian city, Mississippi",4775
"Meridian Station CDP, Mississippi",169
"Merigold town, Mississippi",X
"Mississippi State CDP, Mississippi",107
"Mize town, Mississippi",141
"Monticello town, Mississippi",343
"Mooreville CDP, Mississippi",295
"Morgantown CDP, Mississippi",X
"Morton city, Mississippi",295
"Moss Point city, Mississippi",1199
"Mount Olive town, Mississippi",144
"Myrtle town, Mississippi",X
"Natchez city, Mississippi",2457
"Nellieburg CDP, Mississippi",417
"Nettleton city, Mississippi",418
"New Albany city, Mississippi",1841
"New Augusta town, Mississippi",111
"New Hamilton CDP, Mississippi",202
"New Hebron town, Mississippi",96
"New Hope CDP, Mississippi",1150
"New Houlka town, Mississippi",125
"Newton city, Mississippi",305
"Nicholson CDP, Mississippi",752
"Oak Grove CDP, Mississippi",563
"Ocean Springs city, Mississippi",8766
"Okolona city, Mississippi",X
"Olive Branch city, Mississippi",11578
"Oxford city, Mississippi",9426
"Pascagoula city, Mississippi",4849
"Pass Christian city, Mississippi",1982
"Pearl city, Mississippi",7514
"Pearlington CDP, Mississippi",377
"Pearl River CDP, Mississippi",122
"Pelahatchie town, Mississippi",347
"Petal city, Mississippi",3843
"Philadelphia city, Mississippi",1188
"Picayune city, Mississippi",3170
"Pleasant Hill CDP, Mississippi",835
"Polkville town, Mississippi",189
"Pontotoc city, Mississippi",1581
"Poplarville city, Mississippi",580
"Prentiss town, Mississippi",X
"Purvis city, Mississippi",449
"Quitman city, Mississippi",X
"Raleigh town, Mississippi",X
"Rawls Springs CDP, Mississippi",X
"Raymond city, Mississippi",259
"Richland city, Mississippi",2038
"Richton town, Mississippi",180
"Ridgeland city, Mississippi",6670
"Ripley city, Mississippi",1143
"Robinhood CDP, Mississippi",500
"Rolling Fork city, Mississippi",X
"Ruleville city, Mississippi",101
"Runnelstown CDP, Mississippi",X
"St. Martin CDP, Mississippi",2321
"Saltillo city, Mississippi",1825
"Sandersville town, Mississippi",X
"Sardis town, Mississippi",206
"Saucier CDP, Mississippi",526
"Senatobia city, Mississippi",1516
"Shannon town, Mississippi",166
"Sharon CDP, Mississippi",517
"Sherman town, Mississippi",X
"Smithville town, Mississippi",199
"Soso town, Mississippi",98
"Southaven city, Mississippi",14129
"Starkville city, Mississippi",7114
"State Line town, Mississippi",116
"Stonewall town, Mississippi",206
"Sturgis town, Mississippi",X
"Summit town, Mississippi",X
"Sumrall town, Mississippi",574
"Taylor village, Mississippi",162
"Taylorsville town, Mississippi",269
"Terry town, Mississippi",118
"Thaxton town, Mississippi",X
"Tishomingo town, Mississippi",177
"Toomsuba CDP, Mississippi",X
"Tremont town, Mississippi",X
"Tunica town, Mississippi",X
"Tunica Resorts CDP, Mississippi",X
"Tupelo city, Mississippi",10244
"Tylertown town, Mississippi",341
"Union town, Mississippi",398
"University CDP, Mississippi",1478
"Vancleave CDP, Mississippi",2168
"Vardaman town, Mississippi",X
"Verona city, Mississippi",131
"Vicksburg city, Mississippi",2962
"Victoria CDP, Mississippi",203
"Wade CDP, Mississippi",X
"Walls town, Mississippi",201
"Walnut town, Mississippi",211
"Water Valley city, Mississippi",726
"Waveland city, Mississippi",2355
"Waynesboro city, Mississippi",530
"Wesson town, Mississippi",X
"West Hattiesburg CDP, Mississippi",1170
"West Point city, Mississippi",1628
"Wheeler CDP, Mississippi",106
"Wiggins city, Mississippi",1049
"Winona city, Mississippi",863
"Woodville town, Mississippi",X
"Yazoo City city, Mississippi",430
"Adrian city, Missouri",X
"Advance city, Missouri",555
"Affton CDP, Missouri",12464
"Agency village, Missouri",265
"Airport Drive village, Missouri",319
"Alba city, Missouri",120
"Albany city, Missouri",773
"Alma city, Missouri",240
"Altenburg city, Missouri",247
"Alton city, Missouri",205
"Amsterdam city, Missouri",X
"Anderson city, Missouri",647
"Appleton City city, Missouri",449
"Arbyrd city, Missouri",X
"Arcadia city, Missouri",X
"Archie city, Missouri",621
"Armstrong city, Missouri",97
"Arnold city, Missouri",12127
"Ash Grove city, Missouri",620
"Ashland city, Missouri",2365
"Atlanta city, Missouri",181
"Augusta town, Missouri",X
"Aurora city, Missouri",2815
"Auxvasse city, Missouri",376
"Ava city, Missouri",1144
"Avondale city, Missouri",X
"Ballwin city, Missouri",18677
"Barnhart CDP, Missouri",3056
"Bates City city, Missouri",X
"Battlefield city, Missouri",3081
"Bella Villa city, Missouri",432
"Bell City city, Missouri",X
"Belle city, Missouri",550
"Bellefontaine Neighbors city, Missouri",704
"Bellerive Acres city, Missouri",X
"Bellflower city, Missouri",X
"Bel-Nor village, Missouri",441
"Bel-Ridge village, Missouri",X
"Belton city, Missouri",10080
"Benton city, Missouri",X
"Berger city, Missouri",94
"Berkeley city, Missouri",541
"Bernie city, Missouri",579
"Bertrand city, Missouri",236
"Bethany city, Missouri",1324
"Bevier city, Missouri",X
"Billings city, Missouri",498
"Birch Tree city, Missouri",X
"Bismarck city, Missouri",586
"Black Jack city, Missouri",427
"Bland city, Missouri",X
"Bloomfield city, Missouri",596
"Bloomsdale city, Missouri",X
"Blue Springs city, Missouri",27912
"Blue Summit CDP, Missouri",128
"Blythedale village, Missouri",102
"Bolivar city, Missouri",4335
"Bonne Terre city, Missouri",1936
"Boonville city, Missouri",3296
"Bourbon city, Missouri",670
"Bowling Green city, Missouri",1490
"Branson city, Missouri",6000
"Branson West city, Missouri",185
"Brashear city, Missouri",104
"Braymer city, Missouri",356
"Breckenridge city, Missouri",96
"Breckenridge Hills city, Missouri",904
"Brentwood city, Missouri",4966
"Brewer CDP, Missouri",151
"Briarwood Estates CDP, Missouri",X
"Bridgeton city, Missouri",4400
"Brookfield city, Missouri",1810
"Brunswick city, Missouri",293
"Bucklin city, Missouri",161
"Buckner city, Missouri",1389
"Buffalo city, Missouri",1095
"Bull Creek village, Missouri",131
"Bunceton city, Missouri",120
"Burlington Junction city, Missouri",145
"Butler city, Missouri",1730
"Byrnes Mill city, Missouri",1808
"Cabool city, Missouri",689
"Cainsville city, Missouri",123
"Cairo village, Missouri",113
"Calhoun city, Missouri",X
"California city, Missouri",2046
"Calverton Park city, Missouri",X
"Camden Point city, Missouri",218
"Camdenton city, Missouri",1784
"Cameron city, Missouri",3086
"Campbell city, Missouri",495
"Canton city, Missouri",971
"Cape Girardeau city, Missouri",15765
"Cardwell city, Missouri",X
"Carl Junction city, Missouri",4017
"Carrollton city, Missouri",1593
"Carterville city, Missouri",731
"Carthage city, Missouri",4352
"Caruthersville city, Missouri",1179
"Carytown city, Missouri",108
"Cassville city, Missouri",1407
"Cedar Hill CDP, Missouri",901
"Cedar Hill Lakes village, Missouri",134
"Center city, Missouri",X
"Centertown town, Missouri",137
"Centralia city, Missouri",2124
"Chaffee city, Missouri",1343
"Chamois city, Missouri",X
"Charlack city, Missouri",362
"Charleston city, Missouri",743
"Chesterfield city, Missouri",26713
"Chilhowee town, Missouri",128
"Chillicothe city, Missouri",3627
"Chula city, Missouri",110
"Clarence city, Missouri",270
"Clark city, Missouri",125
"Clarksburg city, Missouri",111
"Clarksdale city, Missouri",131
"Clarkson Valley city, Missouri",1776
"Clarksville city, Missouri",X
"Clarkton city, Missouri",300
"Claycomo village, Missouri",618
"Clayton city, Missouri",7377
"Cleveland city, Missouri",322
"Clever city, Missouri",1312
"Clinton city, Missouri",4096
"Cole Camp city, Missouri",721
"Columbia city, Missouri",54644
"Conception Junction town, Missouri",112
"Concord CDP, Missouri",11684
"Concordia city, Missouri",1350
"Conway city, Missouri",246
"Corder city, Missouri",167
"Cottleville city, Missouri",3421
"Country Club village, Missouri",1213
"Crane city, Missouri",477
"Creighton city, Missouri",104
"Crestwood city, Missouri",8385
"Creve Coeur city, Missouri",8620
"Crocker city, Missouri",229
"Crystal City city, Missouri",2361
"Crystal Lake Park city, Missouri",294
"Crystal Lakes city, Missouri",X
"Cuba city, Missouri",1209
"Dardenne Prairie city, Missouri",7823
"Dearborn city, Missouri",214
"Defiance CDP, Missouri",134
"De Kalb town, Missouri",96
"Dellwood city, Missouri",305
"Delta city, Missouri",127
"Desloge city, Missouri",2168
"De Soto city, Missouri",2813
"Des Peres city, Missouri",6318
"Dexter city, Missouri",3009
"Diamond town, Missouri",291
"Diggins village, Missouri",X
"Dixon city, Missouri",X
"Doe Run CDP, Missouri",296
"Doniphan city, Missouri",681
"Doolittle city, Missouri",152
"Drexel city, Missouri",462
"Duenweg city, Missouri",531
"Duquesne village, Missouri",949
"Dutchtown CDP, Missouri",137
"Eagle Rock CDP, Missouri",96
"Eagleville town, Missouri",X
"East Lynne city, Missouri",136
"East Prairie city, Missouri",834
"Edgerton city, Missouri",242
"Edina city, Missouri",428
"Edmundson city, Missouri",166
"Eldon city, Missouri",1973
"El Dorado Springs city, Missouri",1274
"Ellington city, Missouri",X
"Ellisville city, Missouri",5743
"Ellsinore city, Missouri",X
"Elsberry city, Missouri",720
"Emerald Beach village, Missouri",X
"Eminence city, Missouri",137
"Emma city, Missouri",109
"Eolia village, Missouri",X
"Essex city, Missouri",X
"Eugene CDP, Missouri",99
"Eureka city, Missouri",7287
"Ewing city, Missouri",143
"Excelsior Springs city, Missouri",5060
"Exeter city, Missouri",223
"Fairdealing CDP, Missouri",156
"Fairfax city, Missouri",274
"Fair Grove city, Missouri",674
"Fair Play city, Missouri",X
"Fairview town, Missouri",158
"Farley village, Missouri",X
"Farmington city, Missouri",6800
"Fayette city, Missouri",767
"Fenton city, Missouri",2747
"Ferguson city, Missouri",2747
"Ferrelview village, Missouri",225
"Festus city, Missouri",6301
"Fisk city, Missouri",126
"Flint Hill city, Missouri",X
"Florissant city, Missouri",16035
"Fordland city, Missouri",X
"Foristell city, Missouri",338
"Forsyth city, Missouri",1160
"Fort Leonard Wood CDP, Missouri",1878
"Frankford city, Missouri",159
"Fredericktown city, Missouri",1765
"Freeburg village, Missouri",229
"Freeman city, Missouri",157
"Fremont Hills city, Missouri",633
"Frohna city, Missouri",119
"Frontenac city, Missouri",2089
"Fulton city, Missouri",4004
"Gainesville city, Missouri",215
"Galena city, Missouri",200
"Gallatin city, Missouri",948
"Garden City city, Missouri",720
"Gerald city, Missouri",509
"Gideon city, Missouri",238
"Gilman City city, Missouri",173
"Gladstone city, Missouri",13027
"Glasgow city, Missouri",465
"Glasgow Village CDP, Missouri",171
"Glenaire city, Missouri",310
"Glendale city, Missouri",4600
"Golden CDP, Missouri",X
"Golden City city, Missouri",212
"Goodman city, Missouri",420
"Goose Creek Lake CDP, Missouri",250
"Gordonville village, Missouri",322
"Gower city, Missouri",785
"Grain Valley city, Missouri",7827
"Granby city, Missouri",1031
"Grandview city, Missouri",6331
"Grant City town, Missouri",360
"Grantwood Village town, Missouri",655
"Grayhawk CDP, Missouri",196
"Gray Summit CDP, Missouri",1753
"Greencastle city, Missouri",115
"Green City city, Missouri",227
"Greenfield city, Missouri",474
"Green Park city, Missouri",1609
"Green Ridge city, Missouri",X
"Greentop city, Missouri",133
"Greenville city, Missouri",X
"Greenwood city, Missouri",3122
"Hale city, Missouri",173
"Hallsville city, Missouri",921
"Hamilton city, Missouri",729
"Hanley Hills village, Missouri",122
"Hannibal city, Missouri",6951
"Hardin city, Missouri",X
"Harrisburg town, Missouri",120
"Harrisonville city, Missouri",4886
"Hartville city, Missouri",157
"Hawk Point city, Missouri",282
"Hayti city, Missouri",377
"Hayward CDP, Missouri",X
"Hazelwood city, Missouri",7321
"Henrietta city, Missouri",112
"Herculaneum city, Missouri",2376
"Hermann city, Missouri",1349
"Hermitage city, Missouri",114
"Higbee city, Missouri",X
"Higginsville city, Missouri",2267
"Highlandville city, Missouri",421
"High Ridge CDP, Missouri",2311
"Hillsboro city, Missouri",1557
"Holcomb city, Missouri",222
"Holden city, Missouri",1034
"Hollister city, Missouri",1952
"Holt city, Missouri",191
"Holts Summit city, Missouri",2198
"Homestead village, Missouri",166
"Hopkins city, Missouri",244
"Horine CDP, Missouri",307
"Hornersville city, Missouri",X
"Houston city, Missouri",724
"Houston Lake city, Missouri",X
"Humansville city, Missouri",238
"Huntleigh city, Missouri",240
"Huntsville city, Missouri",616
"Iberia city, Missouri",290
"Imperial CDP, Missouri",2521
"Independence city, Missouri",50088
"Indian Lake CDP, Missouri",X
"Indian Point village, Missouri",X
"Innsbrook village, Missouri",399
"Irondale city, Missouri",X
"Iron Mountain Lake city, Missouri",177
"Ironton city, Missouri",469
"Jackson city, Missouri",7992
"Jamesport city, Missouri",323
"Jamestown town, Missouri",X
"Jane town, Missouri",116
"Jasper city, Missouri",X
"Jefferson City city, Missouri",18924
"Jennings city, Missouri",353
"Jonesburg city, Missouri",X
"Joplin city, Missouri",20754
"Josephville village, Missouri",X
"Junction City village, Missouri",X
"Kahoka city, Missouri",1013
"Kansas City city, Missouri",176633
"Kearney city, Missouri",5601
"Kelso village, Missouri",X
"Kennett city, Missouri",2458
"Keytesville city, Missouri",X
"Kidder city, Missouri",115
"Kimberling City city, Missouri",1288
"King City city, Missouri",431
"Kirksville city, Missouri",6945
"Kirkwood city, Missouri",19164
"Kissee Mills CDP, Missouri",X
"Knob Noster city, Missouri",1071
"LaBarque Creek CDP, Missouri",1035
"La Belle city, Missouri",201
"Laclede city, Missouri",X
"Laddonia city, Missouri",232
"Ladue city, Missouri",5755
"La Grange city, Missouri",280
"Lake Arrowhead CDP, Missouri",X
"Lake Lafayette city, Missouri",X
"Lake Lotawana city, Missouri",1395
"Lake Ozark city, Missouri",951
"Lake St. Clair CDP, Missouri",363
"Lake St. Louis city, Missouri",10290
"Lakeshire city, Missouri",974
"Lake Tapawingo city, Missouri",447
"Lake Tekakwitha village, Missouri",103
"Lake Timberline CDP, Missouri",306
"Lake Viking CDP, Missouri",228
"Lake Waukomis city, Missouri",552
"Lake Winnebago city, Missouri",X
"Lamar city, Missouri",1722
"La Monte city, Missouri",263
"Lancaster city, Missouri",X
"La Plata city, Missouri",666
"Lathrop city, Missouri",1009
"Laurie city, Missouri",393
"Lawson city, Missouri",1164
"Leadington city, Missouri",272
"Leadwood city, Missouri",504
"Leawood village, Missouri",X
"Lebanon city, Missouri",6228
"Lee's Summit city, Missouri",53096
"Leeton city, Missouri",X
"Lemay CDP, Missouri",8585
"Lewistown town, Missouri",203
"Lexington city, Missouri",1864
"Liberal city, Missouri",215
"Liberty city, Missouri",15757
"Licking city, Missouri",547
"Lilbourn city, Missouri",X
"Lincoln city, Missouri",379
"Linn city, Missouri",677
"Linn Creek city, Missouri",102
"Loch Lloyd village, Missouri",576
"Lockwood city, Missouri",351
"Loma Linda town, Missouri",360
"Lone Jack city, Missouri",742
"Louisiana city, Missouri",1263
"Lowry City city, Missouri",187
"McCord Bend village, Missouri",X
"Macon city, Missouri",2409
"Madison city, Missouri",154
"Malden city, Missouri",897
"Manchester city, Missouri",10919
"Mansfield city, Missouri",553
"Maplewood city, Missouri",4323
"Marble Hill city, Missouri",362
"Marceline city, Missouri",1076
"Marionville city, Missouri",874
"Marlborough village, Missouri",1147
"Marquand city, Missouri",95
"Marshall city, Missouri",4229
"Marshfield city, Missouri",3185
"Marston city, Missouri",104
"Marthasville city, Missouri",X
"Martinsburg town, Missouri",114
"Maryland Heights city, Missouri",10993
"Maryville city, Missouri",4886
"Matthews city, Missouri",184
"Maysville city, Missouri",438
"Meadville city, Missouri",153
"Mehlville CDP, Missouri",17495
"Memphis city, Missouri",900
"Mendon city, Missouri",107
"Merriam Woods city, Missouri",774
"Mexico city, Missouri",4502
"Milan city, Missouri",374
"Miller city, Missouri",245
"Millersville CDP, Missouri",97
"Mindenmines city, Missouri",99
"Mine La Motte CDP, Missouri",108
"Miner city, Missouri",307
"Mineral Point town, Missouri",112
"Missouri City city, Missouri",97
"Moberly city, Missouri",5128
"Monett city, Missouri",3488
"Monroe City city, Missouri",1205
"Montgomery City city, Missouri",1295
"Montrose city, Missouri",170
"Morehouse city, Missouri",247
"Morley city, Missouri",X
"Morrisville town, Missouri",146
"Moscow Mills city, Missouri",1490
"Mound City city, Missouri",X
"Mountain Grove city, Missouri",1627
"Mountain View city, Missouri",925
"Mount Vernon city, Missouri",2015
"Murphy CDP, Missouri",4316
"Neck City city, Missouri",99
"Neosho city, Missouri",4546
"Nevada city, Missouri",3256
"New Bloomfield city, Missouri",X
"New Florence city, Missouri",X
"New Franklin city, Missouri",433
"New Hamburg CDP, Missouri",158
"New Haven city, Missouri",1315
"New London city, Missouri",X
"New Madrid city, Missouri",722
"New Melle city, Missouri",288
"Niangua city, Missouri",X
"Nixa city, Missouri",11912
"Noel city, Missouri",257
"Norborne city, Missouri",316
"Normandy city, Missouri",375
"North Kansas City city, Missouri",2071
"Northmoor city, Missouri",X
"Northwoods city, Missouri",135
"Norwood city, Missouri",190
"Novinger city, Missouri",111
"Oak Grove city, Missouri",3789
"Oak Grove Village village, Missouri",155
"Oakland city, Missouri",X
"Oak Ridge town, Missouri",X
"Oakview village, Missouri",198
"Oakville CDP, Missouri",24322
"Oakwood village, Missouri",X
"Oakwood Park village, Missouri",125
"Odessa city, Missouri",2610
"O'Fallon city, Missouri",51434
"Old Jamestown CDP, Missouri",3597
"Old Monroe city, Missouri",133
"Olivette city, Missouri",2939
"Olympian Village city, Missouri",343
"Oran city, Missouri",469
"Oregon city, Missouri",X
"Oronogo city, Missouri",1120
"Orrick city, Missouri",354
"Osage Beach city, Missouri",2217
"Osborn city, Missouri",174
"Osceola city, Missouri",311
"Otterville city, Missouri",X
"Overland city, Missouri",5476
"Owensville city, Missouri",1333
"Ozark city, Missouri",10710
"Ozora CDP, Missouri",110
"Pacific city, Missouri",3365
"Palmyra city, Missouri",1771
"Paris city, Missouri",453
"Park Hills city, Missouri",3240
"Parkville city, Missouri",4131
"Parkway village, Missouri",296
"Parma city, Missouri",118
"Pasadena Hills city, Missouri",151
"Peculiar city, Missouri",2841
"Perry city, Missouri",X
"Perryville city, Missouri",4401
"Pevely city, Missouri",2846
"Philadelphia CDP, Missouri",114
"Piedmont city, Missouri",697
"Pierce City city, Missouri",589
"Pilot Grove city, Missouri",X
"Pilot Knob city, Missouri",181
"Pineville city, Missouri",240
"Plato village, Missouri",103
"Platte City city, Missouri",2398
"Platte Woods city, Missouri",263
"Plattsburg city, Missouri",954
"Pleasant Hill city, Missouri",4457
"Pleasant Hope city, Missouri",296
"Pleasant Valley city, Missouri",1238
"Polo city, Missouri",179
"Pomona CDP, Missouri",X
"Poplar Bluff city, Missouri",5236
"Portage Des Sioux city, Missouri",181
"Portageville city, Missouri",821
"Potosi city, Missouri",937
"Prairie Home city, Missouri",112
"Princeton city, Missouri",377
"Purcell city, Missouri",164
"Purdy city, Missouri",258
"Puxico city, Missouri",330
"Queen City city, Missouri",184
"Qulin city, Missouri",176
"Raintree Plantation CDP, Missouri",1161
"Ravenwood town, Missouri",209
"Raymore city, Missouri",11668
"Raytown city, Missouri",9800
"Redings Mill village, Missouri",124
"Reeds Spring city, Missouri",460
"Rensselaer village, Missouri",108
"Republic city, Missouri",8707
"Rich Hill city, Missouri",488
"Richland city, Missouri",667
"Richmond city, Missouri",2640
"Richmond Heights city, Missouri",5302
"Ridgeway city, Missouri",X
"Risco city, Missouri",X
"Riverside city, Missouri",1588
"Riverview village, Missouri",196
"Rocheport city, Missouri",109
"Rockaway Beach city, Missouri",344
"Rock Hill city, Missouri",2577
"Rock Port city, Missouri",606
"Rogersville city, Missouri",1890
"Rolla city, Missouri",7691
"Rosebud city, Missouri",233
"Rushville village, Missouri",95
"Russellville city, Missouri",321
"Saddlebrooke village, Missouri",X
"St. Ann city, Missouri",4417
"St. Charles city, Missouri",37556
"St. Clair city, Missouri",2050
"Ste. Genevieve city, Missouri",2403
"St. Elizabeth village, Missouri",X
"St. George CDP, Missouri",959
"St. James city, Missouri",1599
"St. John city, Missouri",2064
"St. Joseph city, Missouri",29492
"St. Louis city, Missouri",88530
"St. Martins city, Missouri",743
"St. Paul city, Missouri",2058
"St. Peters city, Missouri",33085
"St. Robert city, Missouri",1665
"St. Thomas town, Missouri",179
"Salem city, Missouri",1664
"Salisbury city, Missouri",697
"Sappington CDP, Missouri",5135
"Sarcoxie city, Missouri",536
"Savannah city, Missouri",2427
"Saverton CDP, Missouri",94
"Schell City city, Missouri",X
"Scott City city, Missouri",1898
"Sedalia city, Missouri",8357
"Seligman city, Missouri",235
"Senath city, Missouri",269
"Seneca city, Missouri",698
"Seymour city, Missouri",734
"Shakertowne CDP, Missouri",X
"Shawneetown CDP, Missouri",95
"Shelbina city, Missouri",749
"Shelbyville city, Missouri",X
"Sheldon city, Missouri",211
"Shell Knob CDP, Missouri",688
"Shrewsbury city, Missouri",4000
"Sibley village, Missouri",138
"Sikeston city, Missouri",4518
"Skidmore city, Missouri",138
"Slater city, Missouri",692
"Smithton city, Missouri",231
"Smithville city, Missouri",5452
"Southwest City town, Missouri",95
"Spanish Lake CDP, Missouri",1318
"Sparta city, Missouri",731
"Spickard city, Missouri",111
"Spokane CDP, Missouri",204
"Springfield city, Missouri",73108
"Stanberry city, Missouri",573
"Stanton CDP, Missouri",165
"Steele city, Missouri",X
"Steelville city, Missouri",466
"Stewartsville city, Missouri",341
"Stockton city, Missouri",733
"Stover city, Missouri",480
"Strafford city, Missouri",1070
"Sturgeon city, Missouri",411
"Sugar Creek city, Missouri",1503
"Sullivan city, Missouri",2999
"Summer Set CDP, Missouri",549
"Summersville city, Missouri",X
"Sunrise Beach village, Missouri",204
"Sunset Hills city, Missouri",6114
"Sweet Springs city, Missouri",549
"Sycamore Hills village, Missouri",270
"Taneyville village, Missouri",125
"Taos city, Missouri",768
"Tarkio city, Missouri",X
"Tarsney Lakes CDP, Missouri",115
"Terre du Lac CDP, Missouri",1257
"Thayer city, Missouri",621
"Tipton city, Missouri",1051
"Town and Country city, Missouri",5730
"Tracy city, Missouri",X
"Trenton city, Missouri",2158
"Trimble city, Missouri",241
"Troy city, Missouri",6099
"Truesdale city, Missouri",X
"Twin Oaks village, Missouri",335
"Union city, Missouri",6664
"Union Star town, Missouri",169
"Unionville city, Missouri",808
"University City city, Missouri",11730
"Urbana city, Missouri",X
"Urich city, Missouri",X
"Utica village, Missouri",96
"Valley Park city, Missouri",3609
"Van Buren town, Missouri",270
"Vandalia city, Missouri",999
"Verona town, Missouri",X
"Versailles city, Missouri",1015
"Vibbard CDP, Missouri",94
"Viburnum city, Missouri",204
"Vienna city, Missouri",156
"Village of Four Seasons village, Missouri",1426
"Villa Ridge CDP, Missouri",1328
"Vinita Park city, Missouri",284
"Walnut Grove city, Missouri",302
"Wardell town, Missouri",X
"Wardsville village, Missouri",999
"Warrensburg city, Missouri",7947
"Warrenton city, Missouri",4197
"Warsaw city, Missouri",740
"Warson Woods city, Missouri",1517
"Washburn city, Missouri",X
"Washington city, Missouri",8963
"Waverly city, Missouri",310
"Wayland city, Missouri",137
"Waynesville city, Missouri",2022
"Weatherby Lake city, Missouri",1448
"Weaubleau city, Missouri",X
"Webb City city, Missouri",5480
"Webster Groves city, Missouri",15674
"Weingarten CDP, Missouri",106
"Weldon Spring city, Missouri",3567
"Wellington city, Missouri",382
"Wellsville city, Missouri",X
"Wentzville city, Missouri",24653
"West Alton city, Missouri",X
"Weston city, Missouri",981
"Westphalia city, Missouri",201
"West Plains city, Missouri",4959
"West Sullivan town, Missouri",120
"Westwood village, Missouri",172
"Wheaton city, Missouri",149
"Whiteman AFB CDP, Missouri",1059
"Wilbur Park village, Missouri",X
"Wildwood city, Missouri",22482
"Willard city, Missouri",3008
