Geographic Area Name, Total
"Wasilla city, Alaska",3710
"Willow CDP, Alaska",909
"Womens Bay CDP, Alaska",313
"Wrangell city and borough, Alaska",678
"Yakutat CDP, Alaska",106
"Ajo CDP, Arizona",941
"Amado CDP, Arizona",115
"Anthem CDP, Arizona",13173
"Apache Junction city, Arizona",16983
"Arivaca CDP, Arizona",261
"Arivaca Junction CDP, Arizona",130
"Arizona City CDP, Arizona",3308
"Arizona Village CDP, Arizona",259
"Avenue B and C CDP, Arizona",395
"Avondale city, Arizona",16314
"Avra Valley CDP, Arizona",2472
"Bagdad CDP, Arizona",610
"Beaver Dam CDP, Arizona",X
"Beaver Valley CDP, Arizona",95
"Bellemont CDP, Arizona",527
"Benson city, Arizona",2340
"Bisbee city, Arizona",2149
"Black Canyon City CDP, Arizona",1256
"Blue Ridge CDP, Arizona",X
"Bluewater CDP, Arizona",226
"Bouse CDP, Arizona",X
"Brenda CDP, Arizona",271
"Buckeye city, Arizona",28389
"Bullhead City city, Arizona",16957
"Cactus Flats CDP, Arizona",590
"Cactus Forest CDP, Arizona",313
"Camp Verde town, Arizona",4650
"Cane Beds CDP, Arizona",248
"Carefree town, Arizona",2320
"Casa Grande city, Arizona",17591
"Casas Adobes CDP, Arizona",31609
"Catalina CDP, Arizona",3642
"Catalina Foothills CDP, Arizona",28853
"Cave Creek town, Arizona",2975
"Centennial Park CDP, Arizona",X
"Central CDP, Arizona",443
"Central Heights-Midland City CDP, Arizona",759
"Chandler city, Arizona",103926
"Chinle CDP, Arizona",X
"Chino Valley town, Arizona",6488
"Chloride CDP, Arizona",111
"Cienega Springs CDP, Arizona",745
"Circle City CDP, Arizona",X
"Citrus Park CDP, Arizona",2453
"Clarkdale town, Arizona",2203
"Claypool CDP, Arizona",330
"Clay Springs CDP, Arizona",X
"Clifton town, Arizona",874
"Colorado City town, Arizona",1429
"Congress CDP, Arizona",846
"Coolidge city, Arizona",3518
"Copper Hill CDP, Arizona",117
"Cordes Lakes CDP, Arizona",1148
"Cornville CDP, Arizona",1701
"Corona de Tucson CDP, Arizona",4142
"Cottonwood city, Arizona",5036
"Crystal Beach CDP, Arizona",130
"Deer Creek CDP, Arizona",X
"Desert Hills CDP, Arizona",1492
"Dewey-Humboldt town, Arizona",1970
"Dolan Springs CDP, Arizona",644
"Doney Park CDP, Arizona",2998
"Douglas city, Arizona",1120
"Dragoon CDP, Arizona",119
"Drexel Heights CDP, Arizona",4174
"Duncan town, Arizona",X
"Eagar town, Arizona",1878
"East Verde Estates CDP, Arizona",X
"Ehrenberg CDP, Arizona",246
"Elephant Head CDP, Arizona",X
"Elfrida CDP, Arizona",X
"El Mirage city, Arizona",8320
"Eloy city, Arizona",2302
"Flagstaff city, Arizona",29541
"Florence town, Arizona",6264
"Flowing Wells CDP, Arizona",4400
"Fort Mohave CDP, Arizona",7648
"Fort Thomas CDP, Arizona",X
"Fortuna Foothills CDP, Arizona",11448
"Fort Valley CDP, Arizona",1138
"Fountain Hills town, Arizona",15292
"Fredonia town, Arizona",709
"Gila Bend town, Arizona",219
"Gilbert town, Arizona",128104
"Gisela CDP, Arizona",257
"Glendale city, Arizona",70462
"Globe city, Arizona",2082
"Gold Canyon CDP, Arizona",7659
"Golden Shores CDP, Arizona",899
"Golden Valley CDP, Arizona",4230
"Goodyear city, Arizona",34640
"Grand Canyon Village CDP, Arizona",535
"Greenehaven CDP, Arizona",X
"Green Valley CDP, Arizona",14758
"Guadalupe town, Arizona",155
"Heber-Overgaard CDP, Arizona",1482
"Holbrook city, Arizona",1117
"Huachuca City town, Arizona",583
"Icehouse Canyon CDP, Arizona",210
"Jerome town, Arizona",274
"Joseph City CDP, Arizona",606
"J-Six Ranchettes CDP, Arizona",264
"Kachina Village CDP, Arizona",1354
"Kaibab Estates West CDP, Arizona",384
"Kearny town, Arizona",632
"Kingman city, Arizona",15725
"Lake Havasu City city, Arizona",29248
"Lake Montezuma CDP, Arizona",2406
"Lake of the Woods CDP, Arizona",1526
"La Paz Valley CDP, Arizona",147
"Lazy Y U CDP, Arizona",246
"Linden CDP, Arizona",1519
"Litchfield Park city, Arizona",3312
"Mammoth town, Arizona",133
"Marana town, Arizona",24635
"Maricopa city, Arizona",20768
"Mayer CDP, Arizona",749
"Meadview CDP, Arizona",704
"Mesa city, Arizona",208564
"Mesa del Caballo CDP, Arizona",315
"Mescal CDP, Arizona",758
"Mesquite Creek CDP, Arizona",X
"Miami town, Arizona",345
"Miracle Valley CDP, Arizona",168
"Mohave Valley CDP, Arizona",977
"Morenci CDP, Arizona",597
"Mountainaire CDP, Arizona",595
"Mountain View Ranches CDP, Arizona",781
"Munds Park CDP, Arizona",596
"Naco CDP, Arizona",127
"Nelson CDP, Arizona",122
"New Kingman-Butler CDP, Arizona",5593
"New River CDP, Arizona",9479
"Nogales city, Arizona",1026
"Oak Creek Canyon CDP, Arizona",211
"Oracle CDP, Arizona",1143
"Oro Valley town, Arizona",26756
"Oxbow Estates CDP, Arizona",131
"Page city, Arizona",2037
"Palominas CDP, Arizona",X
"Paradise Valley town, Arizona",7023
"Parker town, Arizona",629
"Parker Strip CDP, Arizona",X
"Parks CDP, Arizona",791
"Patagonia town, Arizona",297
"Paulden CDP, Arizona",2396
"Payson town, Arizona",8149
"Peeples Valley CDP, Arizona",336
"Peoria city, Arizona",83839
"Phoenix city, Arizona",462404
"Picture Rocks CDP, Arizona",4704
"Pima town, Arizona",1227
"Pinal CDP, Arizona",146
"Pine CDP, Arizona",1251
"Pinedale CDP, Arizona",X
"Pinetop Country Club CDP, Arizona",779
"Pinetop-Lakeside town, Arizona",1790
"Pinion Pines CDP, Arizona",113
"Prescott city, Arizona",26552
"Prescott Valley town, Arizona",24154
"Quartzsite town, Arizona",978
"Queen Creek town, Arizona",30531
"Queen Valley CDP, Arizona",563
"Red Lake CDP, Arizona",X
"Red Rock CDP (Pinal County), Arizona",1072
"Rincon Valley CDP, Arizona",3050
"Rio Rico CDP, Arizona",2032
"Rio Verde CDP, Arizona",1655
"Roosevelt Estates CDP, Arizona",X
"Round Valley CDP, Arizona",216
